CMDLINE /home/dju/miniconda3/envs/retrisound/bin/python test.py
MEM 0.492188 1721051309.8647
MEM 20.839844 1721051309.9651
MEM 61.507812 1721051310.0655
MEM 180.046875 1721051310.1658
MEM 201.363281 1721051310.2662
MEM 218.238281 1721051310.3666
MEM 233.691406 1721051310.4671
MEM 272.988281 1721051310.5676
MEM 276.652344 1721051310.6680
MEM 294.988281 1721051310.7683
MEM 303.968750 1721051310.8687
MEM 309.523438 1721051310.9691
MEM 314.851562 1721051311.0695
MEM 317.687500 1721051311.1698
MEM 323.160156 1721051311.2702
MEM 327.417969 1721051311.3705
MEM 329.996094 1721051311.4710
MEM 338.234375 1721051311.5714
MEM 343.644531 1721051311.6717
MEM 349.183594 1721051311.7721
MEM 356.015625 1721051311.8725
MEM 357.460938 1721051311.9728
MEM 357.976562 1721051312.0732
MEM 363.390625 1721051312.1735
MEM 367.582031 1721051312.2739
MEM 370.015625 1721051312.3743
MEM 378.394531 1721051312.4747
MEM 385.531250 1721051312.5751
MEM 391.621094 1721051312.6754
MEM 395.984375 1721051312.7758
MEM 409.707031 1721051312.8764
MEM 410.746094 1721051312.9767
MEM 411.160156 1721051313.0771
MEM 411.707031 1721051313.1775
MEM 413.214844 1721051313.2778
MEM 420.218750 1721051313.3782
MEM 423.058594 1721051313.4785
MEM 423.300781 1721051313.5788
MEM 424.882812 1721051313.6791
MEM 429.816406 1721051313.7795
MEM 430.265625 1721051313.8799
MEM 430.925781 1721051313.9803
MEM 431.136719 1721051314.0808
MEM 434.628906 1721051314.1811
MEM 444.933594 1721051314.2814
MEM 445.078125 1721051314.3817
MEM 445.199219 1721051314.4820
MEM 445.574219 1721051314.5823
MEM 445.800781 1721051314.6826
MEM 446.031250 1721051314.7829
MEM 446.031250 1721051314.8832
MEM 446.031250 1721051314.9835
MEM 446.296875 1721051315.0839
MEM 468.242188 1721051315.1842
MEM 468.242188 1721051315.2846
MEM 468.242188 1721051315.3849
MEM 468.242188 1721051315.4852
MEM 468.406250 1721051315.5855
MEM 468.523438 1721051315.6857
MEM 468.703125 1721051315.7860
MEM 468.703125 1721051315.8862
MEM 468.703125 1721051315.9865
MEM 468.703125 1721051316.0868
MEM 468.703125 1721051316.1871
MEM 468.703125 1721051316.2874
MEM 469.199219 1721051316.3876
MEM 469.199219 1721051316.4879
MEM 469.457031 1721051316.5882
MEM 469.714844 1721051316.6885
MEM 469.714844 1721051316.7888
MEM 469.714844 1721051316.8890
MEM 469.921875 1721051316.9893
MEM 471.121094 1721051317.0896
MEM 471.707031 1721051317.1899
MEM 471.730469 1721051317.2902
MEM 471.746094 1721051317.3906
MEM 471.746094 1721051317.4910
MEM 472.738281 1721051317.5913
MEM 473.179688 1721051317.6916
MEM 473.179688 1721051317.7921
MEM 473.179688 1721051317.8924
MEM 473.187500 1721051317.9929
MEM 473.203125 1721051318.0934
MEM 473.289062 1721051318.1938
MEM 473.289062 1721051318.2943
MEM 473.289062 1721051318.3947
MEM 473.289062 1721051318.4950
MEM 473.289062 1721051318.5955
MEM 473.289062 1721051318.6960
MEM 473.289062 1721051318.7963
MEM 473.289062 1721051318.8966
MEM 473.289062 1721051318.9971
MEM 473.289062 1721051319.0975
MEM 473.289062 1721051319.1978
MEM 473.289062 1721051319.2982
MEM 473.289062 1721051319.3985
MEM 473.289062 1721051319.4988
MEM 473.289062 1721051319.5993
MEM 473.289062 1721051319.6996
MEM 473.289062 1721051319.8001
MEM 473.289062 1721051319.9004
MEM 473.289062 1721051320.0007
MEM 473.761719 1721051320.1011
MEM 473.761719 1721051320.2015
MEM 473.761719 1721051320.3018
MEM 473.761719 1721051320.4022
MEM 473.761719 1721051320.5027
MEM 473.761719 1721051320.6030
MEM 473.761719 1721051320.7034
MEM 473.761719 1721051320.8038
MEM 473.761719 1721051320.9042
MEM 473.761719 1721051321.0045
MEM 473.761719 1721051321.1048
MEM 475.000000 1721051321.2051
MEM 477.265625 1721051321.3054
MEM 477.515625 1721051321.4057
MEM 492.214844 1721051321.5060
MEM 510.742188 1721051321.6064
MEM 539.535156 1721051321.7070
MEM 574.949219 1721051321.8073
MEM 602.992188 1721051321.9077
MEM 630.296875 1721051322.0080
MEM 655.789062 1721051322.1084
MEM 695.859375 1721051322.2087
MEM 731.679688 1721051322.3091
MEM 764.707031 1721051322.4094
MEM 816.140625 1721051322.5098
MEM 859.613281 1721051322.6101
MEM 889.015625 1721051322.7104
MEM 907.625000 1721051322.8108
MEM 944.011719 1721051322.9111
MEM 982.710938 1721051323.0115
MEM 982.710938 1721051323.1118
MEM 982.710938 1721051323.2121
MEM 982.710938 1721051323.3126
MEM 982.710938 1721051323.4131
MEM 982.710938 1721051323.5135
MEM 982.710938 1721051323.6138
MEM 1014.898438 1721051323.7141
MEM 1058.308594 1721051323.8145
MEM 1084.050781 1721051323.9148
MEM 1141.539062 1721051324.0151
MEM 1188.800781 1721051324.1155
MEM 1226.234375 1721051324.2158
MEM 1257.972656 1721051324.3161
MEM 1284.910156 1721051324.4164
MEM 948.343750 1721051324.5167
MEM 1044.617188 1721051324.6171
MEM 1143.734375 1721051324.7175
MEM 1233.855469 1721051324.8178
MEM 1317.066406 1721051324.9181
MEM 1367.597656 1721051325.0185
MEM 1396.472656 1721051325.1189
MEM 1396.472656 1721051325.2193
MEM 1307.703125 1721051325.3196
MEM 1307.703125 1721051325.4199
MEM 1326.832031 1721051325.5202
MEM 1383.734375 1721051325.6206
MEM 1407.781250 1721051325.7210
MEM 1420.156250 1721051325.8214
MEM 1366.542969 1721051325.9218
MEM 1366.542969 1721051326.0223
MEM 1366.570312 1721051326.1227
MEM 1366.585938 1721051326.2231
MEM 1366.835938 1721051326.3235
MEM 1367.039062 1721051326.4239
MEM 1368.078125 1721051326.5242
MEM 1368.925781 1721051326.6245
MEM 1369.636719 1721051326.7248
MEM 1429.382812 1721051326.8251
MEM 1606.761719 1721051326.9255
MEM 1631.914062 1721051327.0259
MEM 1631.914062 1721051327.1262
MEM 1631.914062 1721051327.2265
MEM 1632.417969 1721051327.3269
MEM 1632.781250 1721051327.4274
MEM 1632.843750 1721051327.5277
MEM 1633.035156 1721051327.6281
MEM 1633.160156 1721051327.7285
MEM 1633.472656 1721051327.8290
MEM 1633.660156 1721051327.9295
MEM 1633.722656 1721051328.0298
MEM 1633.847656 1721051328.1303
MEM 1634.218750 1721051328.2307
MEM 1634.406250 1721051328.3311
MEM 1634.531250 1721051328.4315
MEM 1634.531250 1721051328.5318
MEM 1634.593750 1721051328.6322
MEM 1634.781250 1721051328.7327
MEM 1635.093750 1721051328.8331
MEM 1635.218750 1721051328.9334
MEM 1635.406250 1721051329.0339
MEM 1635.656250 1721051329.1343
MEM 1635.964844 1721051329.2347
MEM 1636.027344 1721051329.3350
MEM 1636.214844 1721051329.4355
MEM 1636.464844 1721051329.5358
MEM 1636.625000 1721051329.6361
MEM 1791.070312 1721051329.7364
MEM 2030.296875 1721051329.8369
MEM 2158.539062 1721051329.9373
MEM 2276.156250 1721051330.0377
MEM 2394.863281 1721051330.1381
MEM 2488.929688 1721051330.2385
MEM 2574.003906 1721051330.3392
MEM 2684.996094 1721051330.4395
MEM 2788.644531 1721051330.5399
MEM 2878.910156 1721051330.6403
MEM 2991.589844 1721051330.7408
MEM 3097.007812 1721051330.8411
MEM 3185.632812 1721051330.9416
MEM 3271.832031 1721051331.0419
MEM 3378.335938 1721051331.1423
MEM 3504.332031 1721051331.2427
MEM 3625.000000 1721051331.3430
MEM 3747.996094 1721051331.4434
MEM 3849.250000 1721051331.5438
MEM 3943.589844 1721051331.6442
MEM 4025.894531 1721051331.7445
MEM 4109.054688 1721051331.8449
MEM 4196.515625 1721051331.9453
MEM 4283.867188 1721051332.0457
MEM 4364.242188 1721051332.1461
MEM 4452.597656 1721051332.2467
MEM 4542.429688 1721051332.3471
MEM 4604.628906 1721051332.4476
MEM 4622.226562 1721051332.5480
MEM 4633.402344 1721051332.6486
MEM 4712.945312 1721051332.7489
MEM 4742.671875 1721051332.8493
MEM 4805.117188 1721051332.9496
MEM 4862.742188 1721051333.0501
MEM 5006.929688 1721051333.1506
MEM 5091.777344 1721051333.2510
MEM 5189.218750 1721051333.3514
MEM 5331.976562 1721051333.4517
MEM 5444.925781 1721051333.5522
MEM 5505.375000 1721051333.6525
MEM 5530.605469 1721051333.7529
MEM 5629.757812 1721051333.8532
MEM 5669.871094 1721051333.9536
MEM 5765.054688 1721051334.0539
MEM 5839.085938 1721051334.1543
MEM 5876.828125 1721051334.2549
MEM 5913.921875 1721051334.3552
MEM 5965.453125 1721051334.4556
MEM 5997.406250 1721051334.5560
MEM 6068.679688 1721051334.6564
MEM 6117.500000 1721051334.7568
MEM 6269.925781 1721051334.8571
MEM 6388.765625 1721051334.9575
MEM 6446.417969 1721051335.0580
MEM 6611.847656 1721051335.1584
MEM 6715.480469 1721051335.2588
MEM 6785.507812 1721051335.3592
MEM 6957.988281 1721051335.4596
MEM 7058.277344 1721051335.5600
MEM 7125.835938 1721051335.6604
MEM 7183.316406 1721051335.7607
MEM 7222.417969 1721051335.8613
MEM 7263.707031 1721051335.9616
MEM 7329.695312 1721051336.0620
MEM 7436.492188 1721051336.1623
MEM 7609.253906 1721051336.2627
MEM 7693.796875 1721051336.3630
MEM 7898.078125 1721051336.4634
MEM 7983.382812 1721051336.5637
MEM 8169.488281 1721051336.6641
MEM 8281.390625 1721051336.7644
MEM 8363.449219 1721051336.8648
MEM 8451.460938 1721051336.9651
MEM 8513.195312 1721051337.0655
MEM 8611.515625 1721051337.1659
MEM 8809.179688 1721051337.2662
MEM 8895.109375 1721051337.3666
MEM 9065.828125 1721051337.4670
MEM 9183.718750 1721051337.5674
MEM 9269.035156 1721051337.6678
MEM 9461.601562 1721051337.7681
MEM 9544.726562 1721051337.8685
MEM 9630.648438 1721051337.9690
MEM 9702.093750 1721051338.0694
MEM 9780.097656 1721051338.1697
MEM 9914.011719 1721051338.2702
MEM 10007.863281 1721051338.3708
MEM 10096.921875 1721051338.4712
MEM 10183.109375 1721051338.5716
MEM 10283.535156 1721051338.6720
MEM 10316.910156 1721051338.7724
MEM 10378.632812 1721051338.8729
MEM 10459.703125 1721051338.9732
MEM 10530.273438 1721051339.0738
MEM 10723.835938 1721051339.1742
MEM 10811.683594 1721051339.2746
MEM 10881.171875 1721051339.3750
MEM 10968.625000 1721051339.4754
MEM 11037.640625 1721051339.5757
MEM 11137.511719 1721051339.6762
MEM 11219.312500 1721051339.7766
MEM 11305.125000 1721051339.8769
MEM 11388.781250 1721051339.9773
MEM 11493.953125 1721051340.0778
MEM 11578.878906 1721051340.1782
MEM 11663.007812 1721051340.2786
MEM 11750.890625 1721051340.3789
MEM 11847.804688 1721051340.4793
MEM 11932.628906 1721051340.5798
MEM 12017.406250 1721051340.6801
MEM 12106.222656 1721051340.7806
MEM 12167.847656 1721051340.8810
MEM 12215.769531 1721051340.9813
MEM 12288.710938 1721051341.0817
MEM 12385.808594 1721051341.1821
MEM 12471.132812 1721051341.2825
MEM 12554.832031 1721051341.3828
MEM 12642.054688 1721051341.4831
MEM 12747.824219 1721051341.5835
MEM 12831.285156 1721051341.6839
MEM 12920.695312 1721051341.7844
MEM 13008.214844 1721051341.8848
MEM 13101.042969 1721051341.9851
MEM 13184.050781 1721051342.0855
MEM 13271.941406 1721051342.1859
MEM 13361.796875 1721051342.2863
MEM 13414.769531 1721051342.3867
MEM 13491.914062 1721051342.4871
MEM 13550.347656 1721051342.5875
MEM 13630.164062 1721051342.6881
MEM 13703.867188 1721051342.7885
MEM 13790.484375 1721051342.8889
MEM 13874.562500 1721051342.9894
MEM 13979.031250 1721051343.0898
MEM 14064.027344 1721051343.1901
MEM 14146.160156 1721051343.2905
MEM 14234.863281 1721051343.3909
MEM 14342.914062 1721051343.4913
MEM 14427.171875 1721051343.5919
MEM 14514.113281 1721051343.6922
MEM 14579.589844 1721051343.7926
MEM 14604.750000 1721051343.8930
MEM 14650.996094 1721051343.9934
MEM 14711.738281 1721051344.0940
MEM 14778.042969 1721051344.1945
MEM 14874.609375 1721051344.2949
MEM 14960.921875 1721051344.3953
MEM 15044.726562 1721051344.4958
MEM 15135.050781 1721051344.5961
MEM 15237.816406 1721051344.6966
MEM 15322.980469 1721051344.7969
MEM 15406.574219 1721051344.8973
MEM 15495.863281 1721051344.9976
MEM 15600.175781 1721051345.0981
MEM 15683.605469 1721051345.1984
MEM 15770.851562 1721051345.2988
MEM 15861.023438 1721051345.3992
MEM 14382.230469 1721051345.4996
MEM 11722.230469 1721051345.5998
MEM 11115.015625 1721051345.7003
MEM 11115.113281 1721051345.8008
MEM 11115.363281 1721051345.9012
MEM 11115.550781 1721051346.0015
MEM 11115.675781 1721051346.1019
MEM 11116.050781 1721051346.2021
MEM 11116.113281 1721051346.3026
MEM 11116.300781 1721051346.4030
MEM 11116.609375 1721051346.5035
MEM 11116.609375 1721051346.6040
MEM 11116.796875 1721051346.7043
MEM 11117.171875 1721051346.8047
MEM 11117.359375 1721051346.9052
MEM 11117.609375 1721051347.0056
MEM 11117.859375 1721051347.1059
MEM 11118.109375 1721051347.2063
MEM 11118.355469 1721051347.3067
MEM 11118.605469 1721051347.4071
MEM 11118.855469 1721051347.5074
MEM 11119.042969 1721051347.6079
MEM 11119.230469 1721051347.7081
MEM 11119.480469 1721051347.8084
MEM 11119.605469 1721051347.9088
MEM 11119.792969 1721051348.0093
MEM 11120.230469 1721051348.1097
MEM 11177.757812 1721051348.2101
MEM 11246.878906 1721051348.3104
MEM 11338.902344 1721051348.4109
MEM 11436.031250 1721051348.5111
MEM 11519.601562 1721051348.6115
MEM 11607.390625 1721051348.7119
MEM 11708.828125 1721051348.8122
MEM 11847.578125 1721051348.9126
MEM 11911.902344 1721051349.0133
MEM 11996.761719 1721051349.1136
MEM 12104.558594 1721051349.2140
MEM 12185.609375 1721051349.3144
MEM 12272.792969 1721051349.4149
MEM 12363.386719 1721051349.5153
MEM 12446.320312 1721051349.6158
MEM 12517.152344 1721051349.7161
MEM 12599.289062 1721051349.8165
MEM 12706.585938 1721051349.9169
MEM 12792.097656 1721051350.0173
MEM 12879.839844 1721051350.1176
MEM 12964.097656 1721051350.2180
MEM 13073.300781 1721051350.3183
MEM 13166.449219 1721051350.4187
MEM 13252.832031 1721051350.5191
MEM 13380.648438 1721051350.6197
MEM 13469.699219 1721051350.7204
MEM 13549.847656 1721051350.8208
MEM 13640.589844 1721051350.9212
MEM 13706.648438 1721051351.0216
MEM 13786.828125 1721051351.1220
MEM 13903.718750 1721051351.2224
MEM 14000.453125 1721051351.3229
MEM 14084.625000 1721051351.4233
MEM 14172.976562 1721051351.5236
MEM 14272.890625 1721051351.6240
MEM 14370.656250 1721051351.7244
MEM 14452.625000 1721051351.8248
MEM 14550.519531 1721051351.9251
MEM 14648.261719 1721051352.0256
MEM 14730.761719 1721051352.1259
MEM 14820.710938 1721051352.2263
MEM 14896.523438 1721051352.3268
